university_id,university_name,url
0,Massachusetts Institute Of Technology (Mit),https://nominatim.openstreetmap.org/search.php?q=Massachusetts%20Institute%20Of%20Technology%20%20Cambridge%20US&format=geojson&addressdetails=1&limit=1
1,Imperial College London,https://nominatim.openstreetmap.org/search.php?q=Imperial%20College%20London%20London%20UK&format=geojson&addressdetails=1&limit=1
2,University Of Oxford,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Oxford%20Oxford%20UK&format=geojson&addressdetails=1&limit=1
3,Harvard University,https://nominatim.openstreetmap.org/search.php?q=Harvard%20University%20Cambridge%20US&format=geojson&addressdetails=1&limit=1
4,University Of Cambridge,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Cambridge%20Cambridge%20UK&format=geojson&addressdetails=1&limit=1
5,Stanford University,https://nominatim.openstreetmap.org/search.php?q=Stanford%20University%20Stanford%20US&format=geojson&addressdetails=1&limit=1
6,Eth Zurich - Swiss Federal Institute Of Technology,https://nominatim.openstreetmap.org/search.php?q=Eth%20Zurich%20-%20Swiss%20Federal%20Institute%20Of%20Technology%20Zurich%20CH&format=geojson&addressdetails=1&limit=1
7,National University Of Singapore (Nus),https://nominatim.openstreetmap.org/search.php?q=National%20University%20Of%20Singapore%20%20Singapore%20SG&format=geojson&addressdetails=1&limit=1
8,University College London,https://nominatim.openstreetmap.org/search.php?q=University%20College%20London%20London%20UK&format=geojson&addressdetails=1&limit=1
9,California Institute Of Technology (Caltech),https://nominatim.openstreetmap.org/search.php?q=California%20Institute%20Of%20Technology%20%20Pasadena%20US&format=geojson&addressdetails=1&limit=1
10,University Of Pennsylvania,https://nominatim.openstreetmap.org/search.php?q=University%20Of%20Pennsylvania%20Philadelphia%20US&format=geojson&addressdetails=1&limit=1
11,"University Of California, Berkeley (Ucb)",https://nominatim.openstreetmap.org/search.php?q=University%20Of%20California%2C%20Berkeley%20%20Berkeley%20US&format=geojson&addressdetails=1&limit=1
12,The University Of Melbourne,https://nominatim.openstreetmap.org/search.php?q=The%20University%20Of%20Melbourne%20Melbourne%20AU&format=geojson&addressdetails=1&limit=1
13,Peking University,https://nominatim.openstreetmap.org/search.php?q=Peking%20University%20Beijing%20CN&format=geojson&addressdetails=1&limit=1
