university_id,university_name,query
2,University Of Oxford,University of Oxford
29,The Australian National University,Australian National University
43,University Of Michigan-Ann Arbor,University of Michigan
77,University Of Glasgow,University of Glasgow
88,Durham University,Durham University
93,Lomonosov Moscow State University,Lomonosov Moscow State University
102,Uppsala University,Uppsala University
154,University Of Geneva,University of Geneva
168,Ghent University,Ghent University
171,University Of Reading,University of Reading
198,University Of Calgary,University of Calgary
214,National Cheng Kung University (Ncku),National Cheng Kung University
232,University Of Twente,University of Twente
245,Charles University,Charles University
254,Griffith University,Griffith University
288,University Of Milan,University of Milan
337,Xi’An Jiaotong University,Xi'an Jiaotong University
374,University Of Florence,University of Florence
383,Western Sydney University,Western Sydney University
393,"University Of California, Santa Cruz",University of California
409,Hse University,HSE University
432,University Of Granada,University of Granada
456,Umea University,Umeå University
471,"Essex, University Of",University of Essex
482,"The University Of Tennessee, Knoxville",University of Tennessee
522,Canadian University Dubai,Canadian University Dubai
574,University Of Debrecen,University of Debrecen
588,The University Of Georgia,University of Georgia
599,University Of Texas Dallas,University of Texas at Dallas
620,University Of Minho,University of Minho
667,Memorial University Of Newfoundland,Memorial University of Newfoundland
751,Vytautas Magnus University,Vytautas Magnus University
814,Jouf University,Jouf University
840,University Of Baghdad,University of Baghdad
849,University Of Ulsan,Ulsan National Institute of Science and Technology
910,Kanazawa University,Kanazawa University
920,Osaka Metropolitan University,Osaka Metropolitan University
993,The University Of Alabama,University of Alabama
1098,Shinshu University,Shinshu University
1110,Széchenyi István University,Széchenyi István University
1118,The University Of Texas At Arlington,University of Texas at Arlington
1119,Tokushima University,Tokushima University
1183,University Of Lagos,University of Lagos
1198,University Of Texas El Paso,University of Texas at El Paso
1216,Anadolu University,Anadolu University
1218,Ataturk University,Atatürk University
1234,Cukurova University,Çukurova University
1263,Kharkiv National University Of Radio Electronics,Kharkiv National University of Radioelectronics
1266,Kindai University (Kinki University),Kinki University
1377,University Of Basrah,University of Basrah
1391,University Of Primorska,University of Primorska
1399,University Of Sri Jayewardenepura,University of Sri Jayewardenepura
1442,Sakarya University,Sakarya University
1445,Silpakorn University,Silpakorn University
6,Eth Zurich - Swiss Federal Institute Of Technology,ETH Zurich
84,Tokyo Institute Of Technology (Tokyo Tech),Tokyo Tech
178,"The University Of Newcastle, Australia (Uon)",University of Newcastle
186,École Normale Supérieure De Lyon,ENS Lyon
241,Technical University Of Darmstadt,TU Darmstadt
249,American University Of Beirut (Aub),AUB
255,Bandung Institute Of Technology (Itb),ITB
