2025_rank,2024_rank,university,alpha_2,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,international_research_network,employment_outcomes,sustainability,qs_overall_score
1,1,Massachusetts Institute of Technology (MIT) ,US,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0,100
2,6,Imperial College London,GB,98.5,99.5,98.2,93.9,100.0,99.6,97.4,93.4,99.7,98.5
3,3,University of Oxford,GB,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0,96.9
4,4,Harvard University,US,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4,96.8
5,2,University of Cambridge,GB,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,96.7
6,5,Stanford University,US,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2,96.1
7,7,ETH Zurich - Swiss Federal Institute of Technology,CH,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8,93.9
8,8,National University of Singapore (NUS),SG,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7,93.7
9,9,UCL,GB,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8,91.6
10,15,California Institute of Technology (Caltech),US,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5,90.9
11,12,University of Pennsylvania,US,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,90.3
12,10,"University of California, Berkeley (UCB)",US,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,90.1
13,14,The University of Melbourne,AU,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6,88.9
14,17,Peking University,CN,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9,88.5
15,26,"Nanyang Technological University, Singapore (NTU)",SG,91.9,73.3,80.6,92.4,100.0,83.5,89.4,83.9,95.6,88.4
16,13,Cornell University,US,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,87.9
17,26,The University of Hong Kong,HK,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2,87.6
18,19,The University of Sydney,AU,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6,87.3
19,19,The University of New South Wales (UNSW Sydney),AU,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2,87.1
20,25,Tsinghua University,CN,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4,86.5
21,11,University of Chicago,US,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9,86.2
22,17,Princeton University,US,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5,85.5
23,16,Yale University,US,99.9,99.9,100.0,38.6,91.5,63.3,93.9,98.5,92.2,85.2
24,24,Université PSL,FR,74.4,97.6,98.1,87.6,62.3,65.0,99.8,97.1,73.4,84.7
